iter	Logloss
0	0.6866112727
1	0.6820419785
2	0.677325346
3	0.6723309507
4	0.6667396779
5	0.6618784625
6	0.656981165
7	0.6521862196
8	0.6472566254
9	0.6431082469
10	0.6381592159
11	0.634201815
12	0.6300329213
13	0.6246713465
14	0.6205106006
15	0.6163001147
16	0.6129572216
17	0.6095018952
18	0.605569978
19	0.6015489326
20	0.5972199635
21	0.5939090542
22	0.5897660495
23	0.5862534072
24	0.5826319382
25	0.5794107316
26	0.575658184
27	0.5724324356
28	0.5686333704
29	0.5643975926
30	0.5605138279
31	0.5571335247
32	0.5539803227
33	0.5520984771
34	0.5493691808
35	0.5466615206
36	0.5435662402
37	0.5415889975
38	0.5391751721
39	0.536259008
40	0.5332828628
41	0.5307497324
42	0.5284077147
43	0.5256460966
44	0.5231074246
45	0.5204977708
46	0.5188575632
47	0.5169747854
48	0.5142554919
49	0.5122731148
50	0.5097616263
51	0.5075945491
52	0.5046675969
53	0.5032421551
54	0.5011021987
55	0.4988288089
56	0.4967613257
57	0.4948998306
58	0.4924827623
59	0.4901068466
60	0.4885957529
61	0.4872374627
62	0.4858418208
63	0.4843957678
64	0.4824834395
65	0.4808255033
66	0.4796679484
67	0.477685302
68	0.4763446166
69	0.4749586882
70	0.4734991345
71	0.4716417353
72	0.4701901241
73	0.4685816714
74	0.4669714937
75	0.4655054091
76	0.4636690679
77	0.4619943018
78	0.4605819126
79	0.458800562
80	0.4575734791
81	0.4560412904
82	0.4543586709
83	0.4526832805
84	0.4512435214
85	0.4495744432
86	0.44824267
87	0.4473266265
88	0.4459872311
89	0.4448315688
90	0.4431627855
91	0.441739239
92	0.4402461637
93	0.4387987136
94	0.4376859347
95	0.4367911779
96	0.4353978154
97	0.4343873161
98	0.4331914078
99	0.4321416728
100	0.4310116882
101	0.4301850612
102	0.4291350464
103	0.4279292823
104	0.4265615363
105	0.4255088837
106	0.4245737175
107	0.4237178679
108	0.4227766259
109	0.421850758
110	0.4206120721
111	0.4198969109
112	0.4185687874
113	0.4174145312
114	0.4164698994
115	0.4157619801
116	0.41482678
117	0.414064182
118	0.4130337632
119	0.4119591347
120	0.4114114497
121	0.4105539157
122	0.4096353234
123	0.4090106165
124	0.4080954846
125	0.4074144976
126	0.4065014832
127	0.4059425794
128	0.4051630696
129	0.4043811723
130	0.403778147
131	0.40257605
132	0.401585923
133	0.4005568758
134	0.3999188428
135	0.3989877498
136	0.3984148349
137	0.3976698514
138	0.3969187425
139	0.3959392701
140	0.3951138694
141	0.394066876
142	0.3936423214
143	0.3929887597
144	0.392481215
145	0.3919268491
146	0.3916363349
147	0.390809907
148	0.3900963789
149	0.3888670724
150	0.3876822937
151	0.3871512734
152	0.386269097
153	0.3856152575
154	0.3847403445
155	0.3840727879
156	0.3830988976
157	0.3827085258
158	0.3817668725
159	0.3811829477
160	0.3806498326
161	0.3799281873
162	0.3791868436
163	0.3784070144
164	0.3776242657
165	0.3770563957
166	0.3765251933
167	0.3760049102
168	0.3756439047
169	0.374941432
170	0.3744197575
171	0.3735604839
172	0.3728885847
173	0.3725354574
174	0.3721293072
175	0.3716135485
176	0.3711329361
177	0.3703869839
178	0.3699047519
179	0.3692512467
180	0.3687229996
181	0.3680713397
182	0.3676992677
183	0.3671100932
184	0.3661634646
185	0.3655107222
186	0.3647026244
187	0.3640999729
188	0.3636312897
189	0.3632177072
190	0.3626260114
191	0.3619924057
192	0.3612832898
193	0.3608850674
194	0.3603045167
195	0.3599011803
196	0.3594753549
197	0.3586095362
198	0.3581177124
199	0.3577678005
