iter	Passed	Remaining
0	6	1227
1	11	1160
2	17	1126
3	22	1126
4	28	1110
5	38	1248
6	45	1264
7	53	1281
8	59	1253
9	63	1212
10	69	1196
11	74	1168
12	79	1143
13	85	1129
14	89	1108
15	94	1088
16	99	1075
17	104	1058
18	109	1044
19	114	1030
20	119	1017
21	124	1003
22	128	991
23	133	979
24	138	969
25	143	958
26	147	947
27	152	938
28	157	928
29	162	919
30	168	917
31	173	908
32	177	900
33	182	892
34	187	883
35	192	875
36	196	867
37	201	859
38	206	852
39	213	855
40	219	850
41	225	847
42	230	842
43	237	841
44	242	835
45	247	828
46	252	820
47	257	814
48	261	807
49	266	799
50	271	793
51	276	786
52	280	778
53	285	771
54	290	765
55	295	759
56	300	755
57	306	750
58	311	744
59	316	739
60	322	733
61	326	727
62	332	723
63	337	718
64	343	712
65	348	706
66	354	704
67	361	701
68	430	817
69	455	846
70	480	872
71	490	872
72	496	863
73	519	884
74	538	897
75	563	919
76	582	930
77	591	924
78	596	913
79	601	902
80	608	893
81	613	883
82	620	874
83	626	864
84	634	857
85	642	851
86	647	841
87	653	831
88	659	821
89	666	814
90	673	806
91	679	797
92	685	788
93	691	779
94	697	771
95	704	762
96	709	753
97	715	744
98	721	736
99	728	728
100	734	719
101	740	711
102	746	703
103	752	694
104	759	686
105	765	678
106	771	670
107	778	663
108	784	654
109	791	647
110	797	639
111	803	631
112	810	624
113	817	616
114	823	608
115	832	602
116	838	595
117	844	586
118	851	579
119	860	573
120	865	565
121	872	558
122	880	550
123	890	545
124	896	538
125	903	530
126	925	532
127	931	524
128	939	516
129	949	511
130	970	510
131	997	514
132	1040	524
133	1046	515
134	1053	507
135	1059	498
136	1065	489
137	1071	481
138	1077	472
139	1085	465
140	1091	456
141	1099	449
142	1105	440
143	1111	432
144	1118	424
145	1124	415
146	1132	408
147	1139	400
148	1146	392
149	1151	383
150	1157	375
151	1163	367
152	1168	359
153	1175	351
154	1181	343
155	1192	336
156	1198	328
157	1204	320
158	1211	312
159	1216	304
160	1223	296
161	1229	288
162	1235	280
163	1243	272
164	1248	264
165	1255	257
166	1260	249
167	1266	241
168	1275	233
169	1280	226
170	1288	218
171	1293	210
172	1301	203
173	1308	195
174	1314	187
175	1321	180
176	1326	172
177	1332	164
178	1337	156
179	1345	149
180	1351	141
181	1356	134
182	1362	126
183	1370	119
184	1376	111
185	1386	104
186	1393	96
187	1399	89
188	1405	81
189	1411	74
190	1417	66
191	1423	59
192	1429	51
193	1436	44
194	1445	37
195	1452	29
196	1460	22
197	1466	14
198	1471	7
199	1477	0
